epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44537,0.72744,0.43227,0.9937,0.89857,1,0.985,0.62882,1.53327,0.67887,1.73654,1.111e-05,1.111e-05,1.111e-05
2,2.28655,0.76917,0.47427,0.9825,0.89163,1,0.975,0.61659,1.52844,0.66021,1.75365,3.27801e-05,3.27801e-05,3.27801e-05
3,3.00809,0.77509,0.46306,0.9991,0.905,1,0.975,0.59003,1.533,0.65801,1.80301,5.37169e-05,5.37169e-05,5.37169e-05
4,3.68127,0.74011,0.50448,1.02929,0.9134,1,0.985,0.61409,1.52626,0.65482,1.82622,7.39204e-05,7.39204e-05,7.39204e-05
5,4.38307,0.73495,0.47055,0.99691,0.91701,0.98986,0.995,0.6194,1.46576,0.58001,1.83158,9.33907e-05,9.33907e-05,9.33907e-05
6,5.10217,0.6282,0.60068,0.98931,0.93511,1,0.995,0.60005,1.48438,0.57065,1.76386,0.000112128,0.000112128,0.000112128
7,5.78481,0.6812,0.4332,0.96052,0.92219,0.99182,0.985,0.55991,1.56433,0.63138,1.72082,0.000130131,0.000130131,0.000130131
8,6.46594,0.69559,0.49007,1.02382,0.82672,1,0.96167,0.55624,1.53657,0.68227,1.81237,0.000147402,0.000147402,0.000147402
9,7.12935,0.8164,0.49555,0.98016,0.83163,1,0.91867,0.56117,1.53764,0.66297,1.84536,0.000163939,0.000163939,0.000163939
10,7.80928,0.76637,0.49692,1.00802,0.91817,0.98752,0.985,0.6059,1.50974,0.63579,1.82214,0.000179743,0.000179743,0.000179743
11,8.46555,0.74411,0.44926,1.02633,0.86606,0.97707,0.985,0.59941,1.43038,0.61821,1.72159,0.000194814,0.000194814,0.000194814
12,9.13359,0.78469,0.45865,1.00482,0.85044,0.97154,0.985,0.62481,1.41899,0.62827,1.70172,0.000209151,0.000209151,0.000209151
13,9.80782,0.74613,0.41502,0.99424,0.84425,0.96786,0.975,0.60529,1.39215,0.65772,1.62079,0.000222756,0.000222756,0.000222756
14,10.4792,0.76036,0.46825,1.04646,0.91228,0.96793,0.975,0.59315,1.45749,0.6943,1.70658,0.000235626,0.000235626,0.000235626
15,11.1357,0.73641,0.47071,1.05535,0.90352,0.9686,0.975,0.57108,1.56687,0.69279,1.89491,0.000247764,0.000247764,0.000247764
